2024-09-01 19:12:59,195 INFO    MainThread:16739 [wandb_setup.py:_flush():76] Current SDK version is 0.15.11
2024-09-01 19:12:59,196 INFO    MainThread:16739 [wandb_setup.py:_flush():76] Configure stats pid to 16739
2024-09-01 19:12:59,196 INFO    MainThread:16739 [wandb_setup.py:_flush():76] Loading settings from /Users/kelseydoerksen/.config/wandb/settings
2024-09-01 19:12:59,196 INFO    MainThread:16739 [wandb_setup.py:_flush():76] Loading settings from /Users/kelseydoerksen/code/sudsaq-kelsey-research/research/kelsey/unet/wandb/settings
2024-09-01 19:12:59,196 INFO    MainThread:16739 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-09-01 19:12:59,196 INFO    MainThread:16739 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-09-01 19:12:59,196 INFO    MainThread:16739 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'research/kelsey/unet/run_pipeline.py', 'program_abspath': '/Users/kelseydoerksen/code/sudsaq-kelsey-research/research/kelsey/unet/run_pipeline.py', 'program': '/Users/kelseydoerksen/code/sudsaq-kelsey-research/research/kelsey/unet/run_pipeline.py'}
2024-09-01 19:12:59,196 INFO    MainThread:16739 [wandb_init.py:_log_setup():528] Logging user logs to /Users/kelseydoerksen/code/sudsaq-kelsey-research/research/kelsey/unet/wandb/offline-run-20240901_191259-1qnuzfc1/logs/debug.log
2024-09-01 19:12:59,196 INFO    MainThread:16739 [wandb_init.py:_log_setup():529] Logging internal logs to /Users/kelseydoerksen/code/sudsaq-kelsey-research/research/kelsey/unet/wandb/offline-run-20240901_191259-1qnuzfc1/logs/debug-internal.log
2024-09-01 19:12:59,196 INFO    MainThread:16739 [wandb_init.py:init():568] calling init triggers
2024-09-01 19:12:59,196 INFO    MainThread:16739 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {}
2024-09-01 19:12:59,196 INFO    MainThread:16739 [wandb_init.py:init():618] starting backend
2024-09-01 19:12:59,197 INFO    MainThread:16739 [wandb_init.py:init():622] setting up manager
2024-09-01 19:12:59,198 INFO    MainThread:16739 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-09-01 19:12:59,201 INFO    MainThread:16739 [wandb_init.py:init():628] backend started and connected
2024-09-01 19:12:59,205 INFO    MainThread:16739 [wandb_init.py:init():720] updated telemetry
2024-09-01 19:12:59,242 INFO    MainThread:16739 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-09-01 19:12:59,248 INFO    MainThread:16739 [wandb_init.py:init():804] starting run threads in backend
2024-09-01 19:13:11,627 INFO    MainThread:16739 [wandb_run.py:_console_start():2199] atexit reg
2024-09-01 19:13:11,627 INFO    MainThread:16739 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2024-09-01 19:13:11,627 INFO    MainThread:16739 [wandb_run.py:_redirect():2119] Wrapping output streams.
2024-09-01 19:13:11,627 INFO    MainThread:16739 [wandb_run.py:_redirect():2144] Redirects installed.
2024-09-01 19:13:11,628 INFO    MainThread:16739 [wandb_init.py:init():845] run started, returning control to user process
2024-09-01 19:13:11,628 INFO    MainThread:16739 [wandb_run.py:_config_callback():1324] config_cb None None {'epochs': 1, 'batch_size': 32, 'learning_rate': 0.001, 'val_percent': 0.1, 'save_checkpoint': True, 'n_channels': 51, 'analysis_period': 'aug', 'target': 'bias', 'region': 'Globe'}
2024-09-01 19:16:44,430 WARNING MsgRouterThr:16739 [router.py:message_loop():77] message_loop has been closed
