2024-09-02 12:39:58,968 INFO    MainThread:24522 [wandb_setup.py:_flush():76] Current SDK version is 0.15.11
2024-09-02 12:39:58,969 INFO    MainThread:24522 [wandb_setup.py:_flush():76] Configure stats pid to 24522
2024-09-02 12:39:58,969 INFO    MainThread:24522 [wandb_setup.py:_flush():76] Loading settings from /Users/kelseydoerksen/.config/wandb/settings
2024-09-02 12:39:58,969 INFO    MainThread:24522 [wandb_setup.py:_flush():76] Loading settings from /Users/kelseydoerksen/code/sudsaq-kelsey-research/research/kelsey/unet/wandb/settings
2024-09-02 12:39:58,969 INFO    MainThread:24522 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-09-02 12:39:58,969 INFO    MainThread:24522 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-09-02 12:39:58,969 INFO    MainThread:24522 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'research/kelsey/unet/run_pipeline.py', 'program_abspath': '/Users/kelseydoerksen/code/sudsaq-kelsey-research/research/kelsey/unet/run_pipeline.py', 'program': '/Users/kelseydoerksen/code/sudsaq-kelsey-research/research/kelsey/unet/run_pipeline.py'}
2024-09-02 12:39:58,969 INFO    MainThread:24522 [wandb_init.py:_log_setup():528] Logging user logs to /Users/kelseydoerksen/code/sudsaq-kelsey-research/research/kelsey/unet/wandb/offline-run-20240902_123958-0bldvrc7/logs/debug.log
2024-09-02 12:39:58,969 INFO    MainThread:24522 [wandb_init.py:_log_setup():529] Logging internal logs to /Users/kelseydoerksen/code/sudsaq-kelsey-research/research/kelsey/unet/wandb/offline-run-20240902_123958-0bldvrc7/logs/debug-internal.log
2024-09-02 12:39:58,969 INFO    MainThread:24522 [wandb_init.py:init():568] calling init triggers
2024-09-02 12:39:58,970 INFO    MainThread:24522 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {}
2024-09-02 12:39:58,970 INFO    MainThread:24522 [wandb_init.py:init():618] starting backend
2024-09-02 12:39:58,970 INFO    MainThread:24522 [wandb_init.py:init():622] setting up manager
2024-09-02 12:39:58,972 INFO    MainThread:24522 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-09-02 12:39:58,975 INFO    MainThread:24522 [wandb_init.py:init():628] backend started and connected
2024-09-02 12:39:58,979 INFO    MainThread:24522 [wandb_init.py:init():720] updated telemetry
2024-09-02 12:39:59,020 INFO    MainThread:24522 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-09-02 12:39:59,026 INFO    MainThread:24522 [wandb_init.py:init():804] starting run threads in backend
2024-09-02 12:40:13,941 INFO    MainThread:24522 [wandb_run.py:_console_start():2199] atexit reg
2024-09-02 12:40:13,941 INFO    MainThread:24522 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2024-09-02 12:40:13,941 INFO    MainThread:24522 [wandb_run.py:_redirect():2119] Wrapping output streams.
2024-09-02 12:40:13,941 INFO    MainThread:24522 [wandb_run.py:_redirect():2144] Redirects installed.
2024-09-02 12:40:13,942 INFO    MainThread:24522 [wandb_init.py:init():845] run started, returning control to user process
2024-09-02 12:40:13,943 INFO    MainThread:24522 [wandb_run.py:_config_callback():1324] config_cb None None {'epochs': 100, 'batch_size': 32, 'learning_rate': 0.001, 'val_percent': 0.1, 'save_checkpoint': True, 'n_channels': 51, 'analysis_period': 'aug', 'target': 'bias', 'region': 'Europe'}
2024-09-02 12:40:14,993 WARNING MsgRouterThr:24522 [router.py:message_loop():77] message_loop has been closed
